chr	start	end	DNA average	DNA rank	Group	P7 CM P300 binding	ID	RNA average	RNA:DNA average
chr10	12986956	12987356	409.1824277	197	BNA_TF_H3K27ac	157	1243	745.1270651	1.821014331
chr10	37617694	37618094	364.0982351	83	BNA_TF_H3K27ac	110	870	1075.573184	2.954074149
chr10	39389444	39389844	2077.309136	606	BNA_TF_H3K27ac	25	1088	1360.14589	0.65476335
chr10	41934728	41935128	650.6393926	1469	BNA_TF_H3K27ac	191	792	166.0714843	0.255243513
chr10	43008062	43008462	2032.00547	412	BNA_TF_H3K27ac	94	837	1920.528732	0.945139548
chr10	43454711	43455111	2094.014409	37	BNA_TF_H3K27ac	104	1124	8243.843514	3.936860929
chr10	53176004	53176404	2214.186997	599	BNA_TF_H3K27ac	313	828	1463.792089	0.661096868
chr10	53324691	53325090	144.4666026	42	BNA_TF_H3K27ac	375	330	553.6177743	3.832150574
chr10	53324695	53325095	144.4666026	41	BNA_TF_H3K27ac	372	755	553.6298724	3.832234318
chr10	57114751	57115151	856.6198144	811	BNA_TF_H3K27ac	256	661	419.6203429	0.489855985
chr10	59965163	59965563	368.8867496	137	BNA_TF_H3K27ac	191	1230	859.8238975	2.330861432
chr10	63128138	63128538	855.6938696	755	BNA_TF_H3K27ac	174	1006	452.6040006	0.528932153
chr10	68102591	68102991	91.54268904	569	BNA_TF_H3K27ac	76	986	62.76537758	0.685640527
chr10	71025139	71025539	205.5838155	30	BNA_TF_H3K27ac	145	845	859.4443223	4.180505748
chr10	73296374	73296774	406.2555596	1038	BNA_TF_H3K27ac	25	1033	156.9714701	0.386386023
chr10	80751342	80751741	2329.849997	225	BNA_TF_H3K27ac	120	55	3895.065898	1.671809731
chr10	80751436	80751836	3820.93217	264	BNA_TF_H3K27ac	126	1208	5696.363754	1.490830902
chr10	80940550	80940950	775.4399594	166	BNA_TF_H3K27ac	106	855	1633.409479	2.106429336
chr10	80940795	80941194	667.8727394	114	BNA_TF_H3K27ac	94	56	1688.643265	2.528390763
chr10	83895664	83896064	228.080096	55	BNA_TF_H3K27ac	136	1212	808.6545594	3.545485001
chr10	84026798	84027198	1046.112863	1295	BNA_TF_H3K27ac	370	647	321.6028898	0.30742657
chr10	86100098	86100498	650.2096961	414	BNA_TF_H3K27ac	70	1098	614.1407295	0.944527178
chr10	88420813	88421213	213.7151854	403	BNA_TF_H3K27ac	59	800	204.165958	0.955317975
chr10	88510809	88511208	1262.300215	160	BNA_TF_H3K27ac	123	596	2709.641722	2.146590556
chr10	88510858	88511258	1274.713026	161	BNA_TF_H3K27ac	115	906	2735.012174	2.145590512
chr10	93672689	93673089	286.0105923	237	BNA_TF_H3K27ac	140	802	460.2585562	1.609236051
chr10	9602828	9603228	372.4472796	423	BNA_TF_H3K27ac	123	1168	346.9569581	0.93155992
chr10	94990782	94991182	304.6836177	420	BNA_TF_H3K27ac	162	815	285.8817109	0.938290391
chr10	95142753	95143153	2558.291439	401	BNA_TF_H3K27ac	299	702	2450.421608	0.957835206
chr1	106204306	106204706	58.12060346	46	BNA_TF_H3K27ac	155	1091	219.2175905	3.771770723
chr11	109622671	109623071	814.3768461	218	BNA_TF_H3K27ac	233	1013	1381.82716	1.696790824
chr11	117646744	117647144	441.4323336	464	BNA_TF_H3K27ac	88	752	376.6336391	0.853208092
chr11	121790576	121790976	724.2400391	377	BNA_TF_H3K27ac	136	1150	724.1638978	0.999894867
chr1	118358993	118359393	175.6045577	63	BNA_TF_H3K27ac	107	679	583.369861	3.322065604
chr1	118359182	118359581	298.5785768	56	BNA_TF_H3K27ac	138	79	1052.656171	3.525558272
chr1	118359207	118359606	298.6529083	57	BNA_TF_H3K27ac	132	754	1052.852953	3.525339695
